HYBAS_ID,MAIN_BAS,PFAF_ID,City index,City,City Simpl,Country,ADM 0 Name,ADM1 Name,John-Rob Watersheds,City Latitude,City Longitude,Tree Cover Loss Area (Hectares),WHRC Biomass Lost (Megagrams Biomass),Restoration Area (Hectare),AboveGround Carbon Accumulation Sum Estimate (Megagrams Carbon/year),AboveGround Carbon Accumulation Sum Lower Bound (Megagrams Carbon/year),AboveGround Carbon Accumulation Sum Upper Bound (Megagrams Carbon/year),AboveGround Carbon Accumulation Sum Variance (Megagrams Carbon/year),BelowGround Carbon Accumulation Sum Estimate (Megagrams Carbon/year),BelowGround Carbon Accumulation Sum Lower Bound (Megagrams Carbon/year),BelowGround Carbon Accumulation Sum Upper Bound (Megagrams Carbon/year),BelowGround Carbon Accumulation Sum Variance (Megagrams Carbon/year)
-9999,-9999,-9999,18,Honolulu,Honolulu,USA,United States,Hawaii,Honouliuli Preserve,21.304547,-157.8556764,2248.438725,384839.6594,0,0,0,0,0,0,0,0,0
1050040320,1050040320,11571,1,Addis Ababa,Addis Ababa,Ethiopia,Ethiopia,Addis Abeba,Rift Valley Basin,9.0107934,38.7612525,1991.385836,310751.8929,0,0,0,0,0,0,0,0,0
1050008570,1050008570,11732,35,Nairobi,Nairobi,Kenya,Kenya,Nairobi,Tana River,-1.2832533,36.8172449,23871.76477,3202639.616,126379.3846,5058.027344,3496.523353,6619.531334,634708.1195,1736.703613,1192.739668,2280.667558,77024.35789
1051616230,1050015850,12797,21,Johannesburg,Johannesburg,South Africa,South Africa,Gauteng,Vaal River Basin & Lesotho Highlands,-26.205,28.049722,1823.652042,202653.2665,0,0,0,0,0,0,0,0,0
1050023310,1050023310,14510,0,Accra,Accra,Ghana,Ghana,Greater Accra,Volta River Basin & Kpong Dam,5.5600141,-0.2057437,1172200.298,180211139.4,2339385.173,217311.125,209055.2581,225566.9919,17742434.9,83585.48438,80343.70361,86827.26514,2735616.024
1051159450,1050034260,17299,22,Kigali,Kigali,Rwanda,Rwanda,Umujyi wa Kigali,Nyabarongo River Basin,-1.8859597,30.1296751,49948.50115,5655081.006,13774.91562,951.0966187,412.4670336,1489.726204,75521.09275,351.9057617,152.6128299,551.1986935,10338.83607
1050036860,1050036860,18180,5,Antananarivo,Antananarivo,Madagascar,Madagascar,Antananarivo,Betsiboka River,-18.9100122,47.5255809,67328.70494,9768741.156,46517.67139,2543.021973,1462.702769,3623.341176,303802.994,652.663269,377.6970675,927.6294706,19680.96938
2050000010,2050000010,21101,17,Haifa,Haifa,Israel,Israel,Haifa,Kishon River Basin,32.8191218,34.9983856,36415.31041,4162718.748,396356.7982,7456.951172,6613.38868,8300.513664,185234.7141,3676.056885,3236.855959,4115.257811,50212.78983
2050002110,2050002110,21105,4,Antalya,Antalya,Turkey,Turkey,Antalya,"They use 90% g/water, but Antalya sits in the Antalya River Basin so I used that.",36.9009641,30.6954846,256274.8041,27369873.18,7244895.004,123877.5859,120666.3881,127088.7838,2684243.99,30577.96289,29405.23398,31750.6918,358000.0759
2050009900,2050009900,21306,57,Skopje,Skopje,North Macedonia,Macedonia,?air,Vardar River Basin,41.9960924,21.4316495,34637.81899,5025291.231,907723.2093,15811.45117,14489.94873,17132.95361,454594.0996,7542.327148,6881.130917,8203.52338,113801.6599
2050009910,2050009910,21307,58,Tirana,Tirana,Albania,Albania,Tiranï¿½,Lake Bovilla Basin,41.3268733,19.8187913,164360.9572,19045553.57,4940931.042,96395.45313,93337.22608,99453.68017,2434598.253,49080.04688,47442.34669,50717.74706,698162.7186
2050477000,2050008490,22797,61,Vienna,Vienna,Austria,Austria,Wien,Lake Neusiedl,48.2083537,16.3725042,113526.0781,23912277.32,408163.8687,8803.390625,7807.568141,9799.213109,258137.8645,4049.55957,3591.481223,4507.637918,54621.97321
2050022160,2050022160,23250,10,Brussels,Brussels,Belgium,Belgium,Bruxelles,Maas River Basin,50.8465573,4.351697,124018.2934,25784209.03,965392.0028,29922.42969,26980.77514,32864.08423,2252533.177,13759.8125,12406.96579,15112.65921,476414.5712
2050048790,2050048790,23301,16,Greater Manchester,Greater Manchester,UK,United Kingdom,England,Lake District,53.50652485,-2.337440142,83457.38992,14513439.99,3830629.114,135205.1094,128603.3786,141806.8401,11344973.23,62160.55078,59124.72475,65196.37681,2399062.809
2050054200,2050054200,23400,14,Dublin,Dublin,Ireland,Ireland,Dublin,Liffey River feeding into Poulaphuca Lake,53.3497645,-6.2602732,143086.5507,25482999.03,6370133.2,266895.1875,256927.6779,276862.6971,25861944.92,122749.8516,118165.2539,127334.4492,5471297.337
2050033500,2050033500,25103,39,Oslo,Oslo,Norway,Norway,Oslo,Lake Maridal / Oslo River / Vest-Viken Basin,59.9133301,10.7389701,29507.21105,2763495.885,13118.96725,283.5325317,109.2761279,457.7889355,7904.335242,124.937233,46.7668643,203.1076016,1590.641019
2050085720,2050085720,29906,3,Amman,Amman,Jordan,Jordan,Amman,Jordan River,31.9515694,35.9239625,289.5721749,26679.26956,17710.60579,290.6890869,138.6009019,442.7772719,6021.141195,138.5750427,65.00016035,212.1499251,1409.116857
4050010150,4050010150,43502,26,Lin'an,Lin'an,China,China,Zhejiang,Qiantang River Basin,30.2371364,119.7192631,21695.36474,2173034.304,469331.0535,13687.04297,11771.48343,15602.60251,955166.6885,2737.408691,2354.296773,3120.52061,38206.66971
4051092490,4050027940,45362,19,Hyderabad,Hyderabad,India,India,Telangana,Musi River & Krishna River,17.3616079,78.4746286,56.1882952,8186.889382,9675.23835,270.4930115,-32.10898054,573.0950035,23835.89275,115.7838135,-15.25727105,246.824898,4469.951539
4050029530,4050029530,45401,24,Kochi,Kochi,India,India,Kerala,Periyarï¿½andï¿½Muvattupuzha Rivers,9.931308,76.2674136,38410.05993,8287158.93,78549.81644,5472.931641,3923.215942,7022.647339,625161.0647,2195.989502,1555.729835,2836.249169,106708.778
5050007690,5050007690,51501,20,Jakarta,Jakarta,Indonesia,Indonesia,Jakarta Raya,Ciliwung & others,-6.1753942,106.827183,246937.1351,55955435.89,1463202.148,109178.6875,103279.4254,115077.9496,9059062.242,38631.28906,36531.56103,40731.01709,1147661.861
5050040360,5050040360,53110,42,Port Moresby,Port Moresby,Papua New Guinea,Papua New Guinea,National Capital District,Laloki River feeding Sirinumu Dam,-9.4743301,147.1599504,102107.0006,31422573.99,121186.46,8555.423828,6658.378591,10452.46906,936792.1257,3444.963623,2649.96698,4239.960266,164519.9037
5050085820,5050085820,57109,6,Auckland,Auckland,New Zealand,New Zealand,Auckland,Waitkere Ranges,-36.852095,174.7631803,569664.5388,108043060.3,1133861.407,54721.41797,50786.20203,58656.63391,4031113.205,10899.86328,10114.69101,11685.03556,160478.8371
6050070260,6050000740,61204,30,Medellin,Medellin,Colombia,Colombia,Antioquia,Rio Grande basin,6.2443382,-75.573553,397327.1171,81237670.55,2308719.587,171858.7656,163326.7027,180390.8286,18949421.74,48567.5625,46082.32141,51052.80359,1607773.655
6050070260,6050000740,61204,53,Santiago de Cali,Santiago de Cali,Colombia,Colombia,Valle del Cauca,Cauca River Basin,3.4517923,-76.5324943,397327.1171,81237670.55,2308719.587,171858.7656,163326.7027,180390.8286,18949421.74,48567.5625,46082.32141,51052.80359,1607773.655
6050089740,6050000740,61209,9,Bogota,Bogota,Colombia,Colombia,Cundinamarca,Chingaza NP and the watersheds of Tunjuelo and Tibitoc,4.59808,-74.0760439,488950.155,97102162.51,3929786.641,291561.75,279997.1186,303126.3814,34813801.19,78420.58594,75112.24107,81728.93081,2849111.254
6050006540,6050006540,62100,29,Macapa,Macapa,Brazil,Brazil,Amapï¿½,,0.0401529,-51.0569588,163925.7957,34224935.08,36514.45886,3168.116699,2178.92063,4157.312769,254713.8859,1172.203125,806.2006036,1538.205646,34870.32634
6050425540,6050007000,62265,44,Porto Velho,Porto Velho,Brazil,Brazil,Rondï¿½nia,Madeira River,-8.7494525,-63.8735438,2147245.332,602585488.1,1352838.836,127590.875,120184.4164,134997.3336,14279370.13,47208.62109,44468.23136,49949.01083,1954845.873
6050294360,6050007000,62292,47,Rio Branco,Rio Branco,Brazil,Brazil,Acre,,-9.9765362,-67.8220778,1620498.822,490211044.6,1074060.782,100486.7188,94717.17045,106256.267,8665058.188,37180.08203,35045.34916,39314.8149,1186246.464
6050451380,6050007950,62445,40,Palmas,Palmas,Brazil,Brazil,Tocantins,,-10.1835604,-48.3337793,484449.1892,41901259.74,0,0,0,0,0,0,0,0,0
6050009260,6050009260,63107,54,Sao Luis,Sao Luis,Brazil,Brazil,Maranhï¿½o,,-2.5634605,-44.2448718,24011.96262,2576304.15,65157.53736,5063.41748,3607.303004,6519.531957,551923.5134,1012.683411,721.4605003,1303.906321,22076.94282
