HYBAS_ID,MAIN_BAS,PFAF_ID,City index,City,City Simpl,Country,ADM 0 Name,ADM1 Name,John-Rob Watersheds,City Latitude,City Longitude,Tree Cover Loss Area (Hectares),WHRC Biomass Lost (Megagrams Biomass),Restoration Area (Hectare),AboveGround Carbon Accumulation Sum Estimate (Megagrams Carbon/year),AboveGround Carbon Accumulation Sum Lower Bound (Megagrams Carbon/year),AboveGround Carbon Accumulation Sum Upper Bound (Megagrams Carbon/year),AboveGround Carbon Accumulation Sum Variance (Megagrams Carbon/year),BelowGround Carbon Accumulation Sum Estimate (Megagrams Carbon/year),BelowGround Carbon Accumulation Sum Lower Bound (Megagrams Carbon/year),BelowGround Carbon Accumulation Sum Upper Bound (Megagrams Carbon/year),BelowGround Carbon Accumulation Sum Variance (Megagrams Carbon/year)
6050652910,6050011780,63494,8,Belo Horizonte,Belo Horizonte,Brazil,Brazil,Minas Gerais,Bonsucesso watershed,-19.9227318,-43.9450948,98978.94298,10305170.11,185578.7243,11576.14648,9130.202349,14022.09062,1557330.986,2944.2854,2325.472385,3563.098416,99679.70319
6050012030,6050012030,63515,51,Salvador,Salvador,Brazil,Brazil,Bahia,,-12.9822499,-38.4812772,220414.8523,31382254.88,692572.1463,54439.5625,49915.98848,58963.13652,5326614.399,22461.69922,20474.68786,24448.71058,1027752.535
6050718180,6050016970,64278,11,Campinas,Campinas,Brazil,Brazil,Sï¿½o Paulo,"Tietï¿½ River Basin (0 to avoid double counting, bc same basin as Sao Paulo)",-22.90556,-47.06083,241331.7615,33224528.09,1449481.895,101234.2813,90995.74376,111472.8187,27287497.39,24847.43555,22398.78455,27296.08655,1560779.812
6050718180,6050016970,64278,55,S‹o Paulo,Sï¿½o Paulo,Brazil,Brazil,Sï¿½o Paulo,Cantareira Watershed,-23.5506507,-46.6333824,241331.7615,33224528.09,1449481.895,101234.2813,90995.74376,111472.8187,27287497.39,24847.43555,22398.78455,27296.08655,1560779.812
6050033220,6050033220,67204,45,Quito,Quito,Ecuador,Ecuador,Pichincha,Coca and Antisana reserves,-0.2201641,-78.5123274,104986.0187,24147185.11,495787.6375,34622.23438,30920.82589,38323.64286,3566332.976,11197.53711,10018.3184,12376.75582,361973.3345
7050374950,7050034520,72530,34,Montreal,Montreal,Canada,Canada,Quï¿½bec,lac des Deux-Montagnes,45.4972159,-73.6103642,131358.5361,12957720.88,1490096.031,28638.65234,26726.94821,30550.35648,951325.672,13162.58887,12283.41514,14041.76259,201204.2989
7050439770,7050034520,72555,59,Toronto,Toronto,Canada,Canada,Ontario,Lake Ontario,43.6534817,-79.3839347,28665.7006,3130908.301,2055523.519,31393.57422,30292.45801,32494.69043,315612.4807,14429.03809,13922.8344,14935.24177,66701.93952
7050494360,7050034520,72557,13,Detroit,Detroit,USA,United States,Michigan,Detroit River Basin,42.3315509,-83.0466403,4609.080793,366104.2689,1027379.123,16307.62402,15432.08602,17183.16202,199543.6244,7497.712402,7095.055613,7900.369191,42204.41737
7050039630,7050039630,73130,36,New York City,New York City,USA,United States,New York,Catskill and Delaware Watersheds,40.7127281,-74.0060152,8466.275875,1120974.485,43073.94249,900.6881714,638.2456082,1163.130735,17929.01368,413.6943054,293.0578905,534.3307203,3788.302947
7050039880,7050039880,73150,41,Philadelphia,Philadelphia,USA,United States,Pennsylvania,Delaware River Watershed,39.9527237,-75.1635262,97408.62577,12074357.02,1254009.282,31073.69727,29315.10529,32832.28924,805041.0564,9787.536133,9214.328069,10360.7442,85528.81207
7050041060,7050041060,73170,7,Baltimore,Baltimore,USA,United States,Maryland,"Jones Fall, Gywnns Falls, Baltimore Harbor, Herring Run",39.2847494,-76.62047464,21132.83946,3035992.99,164588.3767,4011.23999,3422.586869,4599.893112,90200.04613,1240.072876,1035.347285,1444.798467,10910.1852
7050041400,7050041400,73180,62,"Washington, DC","Washington, DC",USA,United States,District of Columbia,Ancostia Watershed,38.8949855,-77.0365708,53843.29421,6672919.323,862298.7852,16888.39063,15850.62523,17926.15602,280340.7462,7768.311523,7290.95708,8245.665967,59315.71875
7050042740,7050042740,73216,46,Raleigh,Raleigh,USA,United States,North Carolina,Upper Neuse River Watershed,35.7803977,-78.6390989,153507.2059,18985211.93,286704.0969,10881.93555,9878.671544,11885.19955,262010.2717,2176.387207,1975.734403,2377.040011,10480.41118
7050686450,7050047060,74241,27,Little Rock,Little Rock,USA,United States,Arkansas,Lake Maumelle Watershed,34.7464809,-92.2895948,236260.8268,30909608.83,1222359.774,21310.7168,19552.60325,23068.83034,804603.0913,4226.312988,3867.599895,4585.026082,33495.17999
7050686450,7050047060,74241,37,North Little Rock,North Little Rock,USA,United States,Arkansas,Lake Maumelle Watershed (duplicate w/ LR),34.769536,-92.2670941,236260.8268,30909608.83,1222359.774,21310.7168,19552.60325,23068.83034,804603.0913,4226.312988,3867.599895,4585.026082,33495.17999
7050822270,7050049990,75324,33,Mexico City,Mexico City,Mexico,Mexico,Distrito Federal,Cutzamala system,19.4326296,-99.1331785,117063.2413,16661333.52,785990.1256,39285.54688,34500.48836,44070.60539,5960220.995,10659.07324,8904.238577,12413.90791,801604.7222
7050050930,7050050930,75371,31,MŽrida,MŽrida,Mexico,Mexico,Yucatï¿½n,Cuxtal Ecological Reserve,20.9670759,-89.6237402,2413608.438,329726139.8,3752352.609,245877.8906,232493.4986,259262.2827,46632119.54,69946.51563,65969.53526,73923.49599,4117131.622
7050826810,7050006390,77145,32,Metropolitan Area of Guadalajara,Guadalajara,Mexico,Mexico,Jalisco,Lerma?Chapala river basin,20.6720375,-103.3383962,421.5433989,31750.46678,402752.2947,12507.34961,10841.06135,14173.63786,722750.0387,3559.643066,2871.353465,4247.932668,123319.0793
7050829810,7050006390,77146,2,Aguascalientes,Aguascalientes,Mexico,Mexico,Aguascalientes,San Pedro River Basin,22.0000001,-102.5000001,419.5236067,29221.44552,55208.9872,1691.965088,1136.073406,2247.85677,80439.28626,432.9899902,240.1476283,625.8323522,9680.387482
7050829830,7050006390,77147,25,Leon,Leon,Mexico,Mexico,Guanajuato,Sierra de Lobos,21.1218598,-101.6825081,11134.39971,2279993.567,530170.2642,17400.04102,15461.99848,19338.08355,977719.9286,4233.508789,3694.721232,4772.296346,75565.39761
7050007000,7050007000,77156,12,Culiac‡n,Culiacï¿½n,Mexico,Mexico,Sinaloa,Culiacan River Watershed,24.7978965,-107.393395,13623.0907,1296944.082,493819.7924,14499.69336,12681.85199,16317.53473,860200.7633,4574.750977,3859.798367,5289.703586,133058.4219
7050073620,7050073620,77381,50,Salt Lake City,Salt Lake City,USA,United States,Utah,Wasatch Canyons,40.7596198,-111.8867975,41214.10549,5853480.532,0,0,0,0,0,0,0,0,0
7050012600,7050012600,77417,28,Los Angeles,Los Angeles,USA,United States,California,Los Angeles (LA) River Watershed,34.0536909,-118.2427666,176546.8883,20389433.55,77401.9068,1460.607788,942.4774061,1978.73817,69882.10454,0,0,0,0
7050013180,7050013180,77430,38,Oakland,Oakland,USA,United States,California,Mokelumne River watershed,37.8044557,-122.2713563,14359.87187,2510508.285,89044.99024,1970.069092,1278.766916,2661.371268,124400.9524,533.2724609,238.6768306,827.8680912,22591.26025
7050013180,7050013180,77430,52,San Francisco,San Francisco,USA,United States,California,San Francisco Bay Watershed,37.7790262,-122.4199061,14359.87187,2510508.285,89044.99024,1970.069092,1278.766916,2661.371268,124400.9524,533.2724609,238.6768306,827.8680912,22591.26025
7050574760,7050013550,77444,48,Sacramento,Sacramento,USA,United States,California,Sacramento River Watershed,38.5815719,-121.4943996,64808.82255,35687515.15,34491.95141,627.1473389,269.4134227,984.881255,33312.56632,0,0,0,0
7050394680,7050014930,78220,15,Eugene (OR),Eugene (OR),USA,United States,Oregon,McKenzie River Basin,44.0505054,-123.0950506,365696.5859,201599500.4,246581.922,7259.577148,5854.174638,8664.979659,514149.369,3339.406006,2692.920865,3985.891147,108794.0018
7050394680,7050014930,78220,43,Portland (OR),Portland (OR),USA,United States,Oregon,Bull Run Watershed,45.5202471,-122.6741949,365696.5859,201599500.4,246581.922,7259.577148,5854.174638,8664.979659,514149.369,3339.406006,2692.920865,3985.891147,108794.0018
7050394680,7050014930,78220,49,Salem (OR),Salem (OR),USA,United States,Oregon,North Santiam River watershed,44.9391565,-123.033121,365696.5859,201599500.4,246581.922,7259.577148,5854.174638,8664.979659,514149.369,3339.406006,2692.920865,3985.891147,108794.0018
7050014940,7050014940,78310,23,King County,"King County, Washington",USA,United States,Washington,Central Puget Sound Watershed,47.4873376,-121.8622122,617252.3758,151642817.7,381433.9729,11685.12207,9762.037292,13608.20685,962686.1374,5368.843262,4484.570085,6253.116438,203545.1505
7050014940,7050014940,78310,56,Seattle,Seattle,USA,United States,Washington,Cedar River Watershed (Duplicate w/ King Co),47.6038321,-122.3300624,617252.3758,151642817.7,381433.9729,11685.12207,9762.037292,13608.20685,962686.1374,5368.843262,4484.570085,6253.116438,203545.1505
7050016270,7050016270,78331,60,Vancouver,Vancouver,Canada,Canada,British Columbia,"Capilano, Seymour and Coquitlam Watershed",49.2608724,-123.1139529,74971.04098,14808519.24,3881.027813,111.0651779,-47.57918901,269.7095448,6551.446054,51.09179688,-21.88538947,124.0689832,1386.315527
